deck_id,deck_source,cmc,name,type,price
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,6,Ancient Copper Dragon,Creature,$119.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$4.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Harmonic Prodigy,Creature,$4.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,"Jaxis, the Troublemaker",Creature,$1.79
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,"Krark, the Thumbless",Creature,$2.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,"Magda, the Hoardmaster",Creature,$0.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$7.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,"Ragavan, Nimble Pilferer",Creature,$54.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Scrawling Crawler,Creature,$10.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$4.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Slickshot Show-Off,Creature,$8.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.79
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,5,Twinflame Tyrant,Creature,$39.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.59
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$22.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Young Pyromancer,Creature,$0.59
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Burst Lightning,Instant,$0.35
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.79
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Twinferno,Instant,$0.69
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.29
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$4.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,Chain Reaction,Sorcery,$0.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Crash Through,Sorcery,$0.35
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,3,Electroduplicate,Sorcery,$1.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$2.49
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.79
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
s_f_48uB5CE-5MiPPv76LQ,https://archidekt.com/decks/22766059?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.79
