deck_id,deck_source,cmc,name,type,price
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$17.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,5,Brash Taunter,Creature,$2.29
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,"Cait Sith, Fortune Teller",Creature,$0.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$1.29
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$7.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Hearthborn Battler,Creature,$0.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,5,Heartless Hidetsugu,Creature,$2.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.79
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Seifer Almasy,Creature,$0.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$4.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$4.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$2.29
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$79.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$17.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$4.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Electrodominance,Instant,$0.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.59
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$11.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,6,Pyrokinesis,Instant,$3.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$4.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$11.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Skullcrack,Instant,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Smite the Deathless,Instant,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Spark Spray,Instant,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Boulder Dash,Sorcery,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Chain Lightning,Sorcery,$0.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Disrupt Decorum,Sorcery,$3.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Haze of Rage,Sorcery,$1.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$49.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Pirate's Pillage,Sorcery,$1.29
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Skewer the Critics,Sorcery,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$11.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Bonesplitter,Artifact,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$47.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Commander's Sphere,Artifact,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Glamdring,Artifact,$2.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Hero's Blade,Artifact,$0.35
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Ore-Rich Stalactite,Artifact,$0.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,5,Pyromancer's Goggles,Artifact,$1.49
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$17.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,3,Sword of Forge and Frontier,Artifact,$12.99
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,1,Tarrian's Soulcleaver,Artifact,$2.79
t87fUaqvQ4XYVm57Qz8WTA,https://archidekt.com/decks/8004352?utm_source=edhrec&utm_medium=deck_summary,4,Aether Sting,Enchantment,$0.39
