deck_id,deck_source,cmc,name,type,price
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$11.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$44.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$3.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$1.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,"General Kreat, the Boltbringer",Creature,$13.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.69
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$18.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$12.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Scab-Clan Berserker,Creature,$0.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$4.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.39
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.59
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$4.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$84.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$19.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$2.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$8.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$12.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,6,Pyrokinesis,Instant,$4.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$16.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Rending Volley,Instant,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$10.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$19.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$47.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Impulse,Sorcery,$2.29
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$7.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$2.29
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Shatterskull Smashing,Sorcery,$13.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Wrenn's Resolve,Sorcery,$3.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.29
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$32.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$32.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$18.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.29
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$3.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$9.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$3.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,1,Dragon Mantle,Enchantment,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyrostatic Pillar,Enchantment,$2.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Spellshock,Enchantment,$2.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,4,Stranglehold,Enchantment,$8.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.79
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,3,Tavern Brawler,Enchantment,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,0,Command Beacon,Land,$9.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,0,"Nykthos, Shrine to Nyx",Land,$74.99
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,0,Sandstone Needle,Land,$6.49
tESyF-C9rh9Y_R1mXTyeuQ,https://moxfield.com/decks/sr46AM0oDEejrxxUeasKPQ?utm_source=edhrec&utm_medium=deck_summary,0,"Valakut, the Molten Pinnacle",Land,$18.99
