deck_id,deck_source,cmc,name,type,price
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Dualcaster Mage,Creature,$5.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.59
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.69
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,4,Lambholt Raconteur,Creature,$0.35
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$4.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Sunset Strikemaster,Creature,$0.69
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,4,Warmonger,Creature,$0.35
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$3.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$4.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,1,Eldritch Immunity,Instant,$5.49
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$11.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$8.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$4.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$3.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$11.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,3,Seize Opportunity,Instant,$0.35
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$13.99
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$1.29
twMC7xA2llBNzTch05_U9g,https://moxfield.com/decks/YelD6UKcSkSkHxZL26eZRg?utm_source=edhrec&utm_medium=deck_summary,2,Warping Wail,Instant,$0.49
