deck_id,deck_source,cmc,name,type,price
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,5,Backdraft Hellkite,Creature,$0.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Fire of Kaladesh",Creature,$2.29
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,6,"Clive, Ifrit's Dominant",Creature,$4.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.79
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Goblin Sharpshooter,Creature,$37.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.39
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.39
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Zookeeper Mechan,Creature,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Shoal,Instant,$5.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Delayed Blast Fireball,Instant,$12.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$6.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Pyromatics,Instant,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Reverberate,Instant,$2.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$8.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$17.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$3.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.69
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$3.49
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$13.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
u-Qo549dNLUl9CYQnJrHBQ,https://moxfield.com/decks/2dnKUiAwP0umE-5GQKcxug?utm_source=edhrec&utm_medium=deck_summary,4,Mizzix's Mastery,Sorcery,$2.99
