deck_id,deck_source,cmc,name,type,price
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$29.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Cemetery Gatekeeper,Creature,$2.29
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,6,Chandra's Incinerator,Creature,$2.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Charming Scoundrel,Creature,$1.79
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Defiler of Instinct,Creature,$0.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Dualcaster Mage,Creature,$4.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Eidolon of the Great Revel,Creature,$3.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Erebor Flamesmith,Creature,$0.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Harsh Mentor,Creature,$0.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$3.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Magus of the Moon,Creature,$6.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Pain Distributor,Creature,$4.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,"Ragavan, Nimble Pilferer",Creature,$42.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$0.69
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Sardian Avenger,Creature,$1.29
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Scytheclaw Raptor,Creature,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$2.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Spear Spewer,Creature,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Blazing Crescendo,Instant,$0.69
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$6.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Commune with Lava,Instant,$0.69
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$69.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Delayed Blast Fireball,Instant,$13.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Downhill Charge,Instant,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Fists of Flame,Instant,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,March of Reckless Joy,Instant,$0.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Price of Progress,Instant,$5.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Pyroblast,Instant,$9.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Red Elemental Blast,Instant,$4.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Zoyowa's Justice,Instant,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,9,Blasphemous Act,Sorcery,$3.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Flame Jab,Sorcery,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Grapeshot,Sorcery,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Heat Shimmer,Sorcery,$12.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Jeska's Will,Sorcery,$32.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Light Up the Stage,Sorcery,$0.35
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,Mana Geyser,Sorcery,$3.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Reckless Impulse,Sorcery,$1.29
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Rite of Flame,Sorcery,$6.99
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Ruination,Sorcery,$1.49
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Wrenn's Resolve,Sorcery,$2.79
vAxW8eXa3qlButXuIm6oig,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Arcane Signet,Artifact,$0.79
