deck_id,deck_source,cmc,name,type,price
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$29.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.59
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.69
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Sawblade Scamp,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$18.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$69.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$2.29
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$3.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$9.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Tibalt's Trickery,Instant,$11.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$7.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$15.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$0.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.69
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$4.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$8.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$1.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Darksteel Plate,Artifact,$5.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Hammer of Nazahn,Artifact,$17.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$6.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Mithril Coat,Artifact,$27.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$11.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Sensei's Divining Top,Artifact,$37.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Swiftfoot Boots,Artifact,$2.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,The Irencrag,Artifact,$0.69
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Winter Moon,Artifact,$0.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Burning Earth,Enchantment,$4.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Claws of Valakut,Enchantment,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,1,Dragon Mantle,Enchantment,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$4.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$14.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$1.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Spellshock,Enchantment,$2.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Sulfuric Vortex,Enchantment,$1.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Tavern Brawler,Enchantment,$0.35
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Exploration,Enchantment,$4.99
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,5,Virtue of Courage,Enchantment,$2.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,3,"Chandra, Dressed to Kill",Planeswalker,$1.79
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,4,"Chandra, Torch of Defiance",Planeswalker,$4.49
vo7_S8o8LAUd9us8gqHcgA,https://moxfield.com/decks/LR1Ml65WF0u-ilXDVwdJLA?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
