deck_id,deck_source,cmc,name,type,price
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Boundary Lands Ranger,Creature,$0.35
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$2.79
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Guttersnipe,Creature,$0.39
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Hexing Squelcher,Creature,$29.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Imperial Recruiter,Creature,$15.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$4.49
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Komainu Battle Armor,Creature,$4.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Krenko, Mob Boss",Creature,$1.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,"Purphoros, God of the Forge",Creature,$32.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Rampaging Ferocidon,Creature,$2.29
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$8.49
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,5,"Thor, Guardian of Midgard",Creature,$2.99
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Accelerate,Instant,$0.69
w1_IS5KNwEtiMBGIC7-prA,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,Balduvian Rage,Instant,$0.39
