deck_id,deck_source,cmc,name,type,price
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,4,Battle-Rattle Shaman,Creature,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$10.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$1.29
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,5,Fire Servant,Creature,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$6.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.69
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Imperial Recruiter,Creature,$13.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$3.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$4.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$9.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,4,Sunspine Lynx,Creature,$3.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,4,"Toralf, God of Fury",Creature,$5.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.69
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$19.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Cast into the Fire,Instant,$1.29
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Desperate Gambit,Instant,$1.29
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Display of Power,Instant,$0.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Dual Shot,Instant,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Infuriate,Instant,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Magmaquake,Instant,$0.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Reroute,Instant,$0.39
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Return the Favor,Instant,$3.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Shock,Instant,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Urza's Rage,Instant,$0.35
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$15.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.49
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Hell to Pay,Sorcery,$0.79
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,6,Insult // Injury,Sorcery,$0.69
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$37.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$5.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,0,Chrome Mox,Artifact,$139.99
wBcMhefL9GSyz_ryLQy_RQ,https://moxfield.com/decks/tMMqogO3RUCF196QNmuShg?utm_source=edhrec&utm_medium=deck_summary,2,Lightning Greaves,Artifact,$5.99
