deck_id,deck_source,cmc,name,type,price
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$42.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Cinder Pyromancer,Creature,$0.35
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.35
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.49
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$2.29
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.79
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Screaming Nemesis,Creature,$7.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,5,"Syr Carah, the Bold",Creature,$0.35
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.49
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.59
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$2.79
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$0.35
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.69
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Choreographed Sparks,Instant,$0.49
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$6.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.49
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$8.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,3,Ghostfire Slice,Instant,$0.59
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$1.99
wQzeIruXWXcSAEOBDmceBw,https://archidekt.com/decks/6454937?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Ransacking,Instant,$0.35
