deck_id,deck_source,cmc,name,type,price
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Anje's Ravager,Creature,$0.69
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$34.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$4.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Grinning Ignus,Creature,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$2.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$3.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Queen Brahne,Creature,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$1.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$1.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Sunset Strikemaster,Creature,$0.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Treasonous Ogre,Creature,$12.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Shoal,Instant,$3.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Bulk Up,Instant,$1.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$0.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Desperate Ritual,Instant,$3.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$5.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$1.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$10.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Sazacap's Brew,Instant,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$9.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Siege Smash,Instant,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Titan's Strength,Instant,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$7.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$14.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Boltwave,Sorcery,$3.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Grab the Prize,Sorcery,$1.29
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Highway Robbery,Sorcery,$0.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$32.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Mana Clash,Sorcery,$1.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$3.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Past in Flames,Sorcery,$1.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.39
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Vandalblast,Sorcery,$3.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Will of the Jeskai,Sorcery,$6.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Witch's Mark,Sorcery,$0.39
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$44.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$2.29
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Ghirapur Orrery,Artifact,$0.79
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Glittering Stockpile,Artifact,$0.35
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,0,Lotus Petal,Artifact,$32.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Monument to Endurance,Artifact,$12.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Nyx Lotus,Artifact,$7.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Ruby Medallion,Artifact,$11.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$1.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,Sword of the Animist,Artifact,$7.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,2,The Irencrag,Artifact,$0.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,5,All Will Be One,Enchantment,$20.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Blood Moon,Enchantment,$8.49
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$3.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$12.99
wRtD_QMGx0L00OV8ZOaKxw,https://moxfield.com/decks/ZDZa_J1nWEGF4vxJl6aGfQ?utm_source=edhrec&utm_medium=deck_summary,3,Tavern Brawler,Enchantment,$0.35
