deck_id,deck_source,cmc,name,type,price
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,3,"Anax, Hardened in the Forge",Creature,$0.35
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$32.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,5,Bonehoard Dracosaur,Creature,$12.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$2.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.49
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,6,Fear of Burning Alive,Creature,$0.35
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,4,Forgeborn Oreads,Creature,$0.35
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,3,Hissing Iguanar,Creature,$0.35
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$2.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$5.49
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$0.79
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,2,Reckless Fireweaver,Creature,$0.99
xKj_y-rlxeznhS0AGvUWwQ,https://moxfield.com/decks/6a28rJ0pSkSAirysz7kpRw?utm_source=edhrec&utm_medium=deck_summary,1,Scorched Rusalka,Creature,$0.35
