deck_id,deck_source,cmc,name,type,price
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Cemetery Gatekeeper,Creature,$4.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,"Electro, Assaulting Battery",Creature,$8.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Firespitter Whelp,Creature,$0.39
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.49
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.39
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$13.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.29
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,5,Pinnacle Monk,Creature,$2.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Sabotender,Creature,$0.35
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,4,"Solphim, Mayhem Dominus",Creature,$37.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.69
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Downhill Charge,Instant,$0.35
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$7.49
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$1.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Thrill of Possibility,Instant,$0.35
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Unleash Fury,Instant,$0.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$24.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Explosive Entry,Sorcery,$0.35
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.79
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Overmaster,Sorcery,$2.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,5,Reforge the Soul,Sorcery,$8.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Wheel of Misfortune,Sorcery,$9.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Winds of Change,Sorcery,$6.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$3.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.79
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,1,Commander's Plate,Artifact,$34.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,6,Embercleave,Artifact,$13.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Energy Chamber,Artifact,$1.99
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.29
xinQA-q9pP-_ARoeEIFi7A,https://archidekt.com/decks/24064248?utm_source=edhrec&utm_medium=deck_summary,3,Hazoret's Monument,Artifact,$2.79
