deck_id,deck_source,cmc,name,type,price
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Agate Instigator,Creature,$7.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$21.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,"Birgi, God of Storytelling",Creature,$37.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.79
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.69
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$3.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Immolation Shaman,Creature,$0.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$5.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.79
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Moon,Creature,$5.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Molten Gatekeeper,Creature,$0.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,"Purphoros, God of the Forge",Creature,$32.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$10.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.29
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$3.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Spear Spewer,Creature,$0.35
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Sunshot Militia,Creature,$0.35
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Tunneling Geopede,Creature,$1.29
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Weftstalker Ardent,Creature,$2.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,"Zhao, the Moon Slayer",Creature,$0.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Bolt Bend,Instant,$5.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$74.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Flare of Duplication,Instant,$3.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$0.79
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Pyretic Ritual,Instant,$12.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Pyroblast,Instant,$9.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Red Elemental Blast,Instant,$5.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$15.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$9.49
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$17.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$2.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.79
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Flame Fusillade,Sorcery,$2.29
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Flame Jab,Sorcery,$0.35
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Gamble,Sorcery,$16.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.59
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Jeska's Will,Sorcery,$49.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,1,Rite of Flame,Sorcery,$6.99
yjfutxRZyPKIFUDq7m-ZjQ,https://moxfield.com/decks/dB-VHIxOrEOYMYDwTg37sA?utm_source=edhrec&utm_medium=deck_summary,4,Ruination,Sorcery,$2.99
