deck_id,deck_source,cmc,name,type,price
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$1.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,"Gandalf, Goblins' Bane",Creature,$7.49
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$7.49
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$34.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$13.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$8.49
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Simian Spirit Guide,Creature,$2.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$27.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Crescendo,Instant,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Blazing Shoal,Instant,$3.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Crimson Wisps,Instant,$1.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Deflecting Swat,Instant,$99.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Expedite,Instant,$0.59
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Flashback,Instant,$5.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Gut Shot,Instant,$6.49
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.79
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Might of the Meek,Instant,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Monstrous Rage,Instant,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Needle Drop,Instant,$0.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Play with Fire,Instant,$0.39
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Redirect Lightning,Instant,$20.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$12.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Spark Spray,Instant,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,2,Untimely Malfunction,Instant,$12.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,3,Valakut Awakening,Instant,$23.99
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,1,Ancestral Anger,Sorcery,$0.35
yq4VuOLB1KumPu1Vqm1x2Q,https://moxfield.com/decks/qHKfAazflnqEF1zXLCXA9A?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
