deck_id,deck_source,cmc,name,type,price
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Birgi, God of Storytelling",Creature,$37.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Coruscation Mage,Creature,$1.79
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,"Electro, Assaulting Battery",Creature,$6.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Electrostatic Field,Creature,$1.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Firebrand Archer,Creature,$0.35
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Grinning Ignus,Creature,$0.35
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Kessig Flamebreather,Creature,$5.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,1,"Ragavan, Nimble Pilferer",Creature,$57.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Razorkin Needlehead,Creature,$9.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Runaway Steam-Kin,Creature,$1.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Simian Spirit Guide,Creature,$2.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Storm-Kiln Artist,Creature,$3.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Summon: G.F. Cerberus,Creature,$0.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Thermo-Alchemist,Creature,$0.35
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Treasonous Ogre,Creature,$17.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Urabrask,Creature,$19.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,0,Walking Ballista,Creature,$10.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,4,Bolt Bend,Instant,$4.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Bulk Up,Instant,$2.49
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,3,Deflecting Swat,Instant,$79.99
z9tv_LaTYpsv0dGhVzw_KQ,https://archidekt.com/landing?utm_source=edhrec&utm_medium=leaderboard,2,Desperate Ritual,Instant,$5.49
