deck_id,deck_source,cmc,name,type,price
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,1,Blisterspit Gremlin,Creature,$0.35
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Eidolon of the Great Revel,Creature,$2.79
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,"Gimli, Counter of Kills",Creature,$0.35
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Gleeful Arsonist,Creature,$5.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Glint-Horn Buccaneer,Creature,$7.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Harsh Mentor,Creature,$0.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Hexing Squelcher,Creature,$20.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,"Livaan, Cultist of Tiamat",Creature,$0.35
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,"Longshot, Rebel Bowman",Creature,$9.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Magebane Lizard,Creature,$1.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Magus of the Wheel,Creature,$1.79
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$6.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Pain Distributor,Creature,$7.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,5,Quakebringer,Creature,$2.29
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$11.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Sardian Avenger,Creature,$1.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Scytheclaw Raptor,Creature,$0.35
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$3.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,Thundering Raiju,Creature,$0.79
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,"Toralf, God of Fury",Creature,$7.49
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,4,Urabrask,Creature,$21.99
zJPy_ARdEaV0OuUeovraMA,https://moxfield.com/decks/UU6YFsaiXU6PDvVb_-aRUw?utm_source=edhrec&utm_medium=deck_summary,3,Zo-Zu the Punisher,Creature,$3.99
