deck_id,deck_source,cmc,name,type,price
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,"Ashling, Flame Dancer",Creature,$9.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,6,Chandra's Incinerator,Creature,$3.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Coruscation Mage,Creature,$2.29
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Defiler of Instinct,Creature,$0.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Electrostatic Field,Creature,$2.29
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Erebor Flamesmith,Creature,$0.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Firebrand Archer,Creature,$0.39
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Guttersnipe,Creature,$0.59
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Kessig Flamebreather,Creature,$4.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,5,"Neheb, the Eternal",Creature,$10.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Rampaging Ferocidon,Creature,$1.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Razorkin Needlehead,Creature,$7.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Runaway Steam-Kin,Creature,$2.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Solemn Simulacrum,Creature,$0.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Storm-Kiln Artist,Creature,$2.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Thermo-Alchemist,Creature,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,"Torbran, Thane of Red Fell",Creature,$6.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Unruly Catapult,Creature,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Abrade,Instant,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Big Score,Instant,$1.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Chaos Warp,Instant,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Demand Answers,Instant,$1.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Flick a Coin,Instant,$0.39
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,GUT SHOT,Instant,
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Lava Dart,Instant,$1.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Lightning Bolt,Instant,$2.29
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Price of Progress,Instant,$7.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,6,Raphael's Technique,Instant,$0.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Seething Song,Instant,$13.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Spikefield Hazard,Instant,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Wild Ricochet,Instant,$0.59
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,9,Blasphemous Act,Sorcery,$1.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Channeled Dragonfire,Sorcery,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Earthquake,Sorcery,$1.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,End the Festivities,Sorcery,$1.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Faithless Looting,Sorcery,$0.69
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Fiery Confluence,Sorcery,$0.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Grapeshot,Sorcery,$0.39
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Ignite the Future,Sorcery,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Light Up the Stage,Sorcery,$0.39
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,5,Mana Geyser,Sorcery,$2.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Rain of Embers,Sorcery,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Tectonic Hazard,Sorcery,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,VANDALBLAST,Sorcery,
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,WHEEL OF MISFORTUNE,Sorcery,
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Arcane Signet,Artifact,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Blackblade Reforged,Artifact,$4.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Champion's Helm,Artifact,$2.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Cursed Mirror,Artifact,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Endless Atlas,Artifact,$2.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Fellwar Stone,Artifact,$1.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Fire Diamond,Artifact,$0.69
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Glittering Stockpile,Artifact,$0.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Mind Stone,Artifact,$0.69
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,5,Pyromancer's Goggles,Artifact,$0.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,1,Sol Ring,Artifact,$2.79
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,3,Claws of Valakut,Enchantment,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,5,Festival of Embers,Enchantment,$0.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Manabarbs,Enchantment,$5.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,Pyrohemia,Enchantment,$18.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,2,Roiling Vortex,Enchantment,$2.29
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,5,Virtue of Courage,Enchantment,$4.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,4,"Chandra, Torch of Defiance",Planeswalker,$2.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Ash Barrens,Land,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Blast Zone,Land,$0.59
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Castle Embereth,Land,$0.59
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Forgotten Cave,Land,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Mines of Moria,Land,$4.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Mountain,Land,$0.35
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Myriad Landscape,Land,$0.69
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Ramunap Ruins,Land,$0.99
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Scavenger Grounds,Land,$0.49
zaeIU1tPT0QYIF64mZzovg,https://moxfield.com/decks/EGt5w2AbSEqQ0TC9797GTQ?utm_source=edhrec&utm_medium=deck_summary,0,Tyrite Sanctum,Land,$3.99
